,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,drafted or no,drafted_top10,Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
51,Paul George,2010,10.0,202.565,205.105,211.455,271.78000000000003,88.9,351.79,74.93,337.82,97.068688,5.0,4.0,11.254999999999999,3.28,1,1,0.6517726505634909,0.5671606100870821,0.1910788734987883,0.7611979505159274,-0.03583515119533677,0.0728366969170871,-0.025837928738967956,0.07616543553410786,-0.03372140445268794,-0.8933825572848184,-1.6772763808750364,-0.12381168699150906,-0.14214605678035735
52,Cole Aldrich,2010,11.0,205.74,211.455,225.425,283.21,71.12,354.33,58.42,341.63,107.047712,8.5,10.0,11.48,3.35,1,0,1.032353699062836,1.3315559057466981,1.5872828482997958,1.6809211558523551,-2.1445735605594947,0.32388051229125275,-2.3107947584035906,0.42259531973805153,0.8592873365131699,0.5226788805277955,-0.03597943025220917,0.30726866288226756,0.44442929041246476
53,Xavier Henry,2010,12.0,196.215,199.39000000000001,211.455,266.7,92.71000000000001,359.41,72.39,339.09000000000003,95.25431999999999,4.7,8.0,11.1,3.18,1,0,-0.10938944643519564,-0.12079515600656693,0.1910788734987883,0.35243208147750993,0.416037365096983,0.8259681430395953,-0.3773697486873722,0.19164206360209254,-0.1960866300828439,-1.014759251954471,-0.5830784137931515,-0.4207781502378854,-0.9801108384843825
54,Ed Davis,2010,13.0,205.74,207.645,213.36,274.32,91.44,365.76,78.74,353.06,102.965384,10.0,10.0,11.7,3.21,1,0,1.032353699062836,0.8729187283509299,0.3814703246080167,0.9655808850351315,0.26541319299954197,1.453577681475015,0.5014598011836354,1.4618849723498826,0.493965578845319,1.1295623538760589,-0.03597943025220917,0.7287694494255109,-0.7287214039731758
55,Patrick Patterson,2010,14.0,203.2,206.375,216.535,271.78000000000003,85.09,356.87,72.39,344.17,108.86207999999999,5.3,17.0,11.14,3.25,1,0,0.7278888602633585,0.720039669219006,0.6987894097900622,0.7611979505159274,-0.4877076674876566,0.574924327665424,-0.3773697486873722,0.6535485758740157,1.0216525621433246,-0.7720058626151659,1.878867012141089,-0.3441416435936572,-0.3935354912915642
56,Larry Sanders,2010,15.0,206.375,209.55,227.965,284.48,71.12,355.6,64.77,349.25,100.697424,4.6,7.0,12.49,3.27,1,0,1.1084699087627035,1.102237317048814,1.8411381164454328,1.7831126231119618,-2.1445735605594947,0.4494024199783412,-1.431965208532583,1.1154550881459389,0.291009046807624,-1.0552181501776887,-0.8566279055636228,2.2423404556489857,-0.2259425349507584
57,Luke Babbitt,2010,16.0,201.93,205.105,211.455,265.43,95.25,360.68,74.93,340.36,98.883056,5.6,15.0,10.98,3.4,1,0,0.5756564408636233,0.5671606100870821,0.1910788734987883,0.25024061421790783,0.7172857092918619,0.9514900507266781,-0.025837928738967956,0.30711869167007205,0.12864382117746803,-0.6506291679455134,1.3317680286001468,-0.6506876701705633,0.8634116812644773
58,Eric Bledsoe,2010,18.0,183.51500000000001,186.69,201.93,248.92000000000002,88.9,351.79,74.93,337.82,87.089664,5.6,9.0,11.254999999999999,3.28,1,0,-1.6317136404325687,-1.6495857473257955,-0.7608783820473539,-1.0782484601569375,-0.03583515119533677,0.0728366969170871,-0.025837928738967956,0.07616543553410786,-0.9267301454185446,-0.6506291679455134,-0.30952892202268034,-0.12381168699150906,-0.14214605678035735
59,Avery Bradley,2010,19.0,187.96,191.135,201.29500000000002,250.19,95.25,345.44,80.01,330.2,81.64656,4.0,2.0,11.47,3.14,1,0,-1.0989001725334886,-1.1145090403640672,-0.8243421990837624,-0.9760569928973354,0.7172857092918619,-0.5547728415183383,0.6772257111578386,-0.6166943328737795,-1.4138258223090125,-1.297971539516994,-2.2243753644159785,0.2881095362212113,-1.315296751165994
60,Evan Turner,2010,2.0,197.485,200.66,203.2,262.89,87.63,350.52,69.85,332.74,97.068688,8.6,9.0,11.06,3.27,1,1,0.042842972964543036,0.032083903125353544,-0.6339507479745368,0.04585767969869911,-0.18645932329277784,-0.05268521077000135,-0.7289015686357765,-0.3857410767378153,-0.03372140445268794,0.563137778751013,-0.30952892202268034,-0.49741465688211023,-0.2259425349507584
